JEOPARDY DAILY GAME - CSV FORMAT GUIDE
,,,,,,,,,,,
HOW TO USE:,,,,,,,,,,,
1. Make a copy of this file,,,,,,,,,,,
2. Rename the copy to the game date: YYYY-MM-DD.csv (e.g. 2026-09-05.csv),,,,,,,,,,,
3. Fill in your categories and clues below,,,,,,,,,,,
4. Save as CSV (comma-separated) and upload to the /daily/ folder on your server,,,,,,,,,,,
"5. Commas inside clues are fine — just wrap the cell in quotes (Excel does this automatically)",,,,,,,,,,,
,,,,,,,,,,,
ROUND 1 VALUES (do not change):,200,400,600,800,1000,,,,,,
ROUND 2 VALUES (do not change):,400,800,1200,1600,2000,,,,,,
,,,,,,,,,,,
--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Science,History,Math,Literature,World Capitals,Pop Culture,,,,,
$200 CLUE,The closest planet to the Sun.,This war was fought from 1861 to 1865 in the United States.,The number of sides on a hexagon.,Author of 'Romeo and Juliet.',This city is the capital of France.,This streaming service produced 'Stranger Things.',,,,,
$200 ANSWER,What is Mercury?,What is the Civil War?,What is 6?,Who is William Shakespeare?,What is Paris?,What is Netflix?,,,,,
$400 CLUE,This gas makes up about 78% of Earth's atmosphere.,She was the first woman to win a Nobel Prize.,The square root of 144.,George Orwell's dystopian novel set in the year referenced in its title.,This South American capital sits at over 11000 feet above sea level.,She sang 'Rolling in the Deep.',,,,,
$400 ANSWER,What is Nitrogen?,Who is Marie Curie?,What is 12?,What is 1984?,What is Quito?,Who is Adele?,,,,,
$600 CLUE,The chemical symbol for gold.,Year the Berlin Wall fell.,This ratio relates a circle's circumference to its diameter.,The species of whale hunted in Moby Dick.,The capital of Australia — often confused with Sydney.,The first iPhone was released in this year.,,,,,
$600 ANSWER,What is Au?,What is 1989?,What is Pi?,What is a sperm whale?,What is Canberra?,What is 2007?,,,,,
$800 CLUE,This organ pumps blood through the human body.,This ancient wonder stood in Alexandria Egypt.,In a right triangle this theorem relates the three sides.,Harper Lee's Pulitzer Prize-winning novel.,This island city-state is both a country and its own capital.,This superhero group includes Iron Man Thor and Captain America.,,,,,
$800 ANSWER,What is the heart?,What is the Lighthouse of Alexandria?,What is the Pythagorean Theorem?,What is To Kill a Mockingbird?,What is Singapore?,Who are the Avengers?,,,,,
$1000 CLUE,Einstein's famous equation relating energy and mass.,Napoleon's final defeat occurred at this Belgian battle.,The value of 2 to the power of 10.,This J.K. Rowling character is 'The Boy Who Lived.',The capital of Canada.,This Pokemon is number 001 in the original Pokedex.,,,,,
$1000 ANSWER,What is E=mc2?,What is the Battle of Waterloo?,What is 1024?,Who is Harry Potter?,What is Ottawa?,What is Bulbasaur?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Geography,Science & Tech,World History,Arts & Music,Sports,Wild Card,,,,,
$400 CLUE,The longest river in the world.,This element has the atomic number 1.,This empire was the largest contiguous land empire in history.,Beethoven composed this many symphonies.,Country that has won the most FIFA World Cup titles.,Number of bones in the adult human body.,,,,,
$400 ANSWER,What is the Nile?,What is Hydrogen?,What is the Mongol Empire?,What is 9?,What is Brazil?,What is 206?,,,,,
$800 CLUE,This country has the most time zones.,The inventor of the telephone.,Year the first moon landing occurred.,The artist who painted the Sistine Chapel ceiling.,The number of players on a basketball court per team.,The Mona Lisa is housed in this Paris museum.,,,,,
$800 ANSWER,What is France?,Who is Alexander Graham Bell?,What is 1969?,Who is Michelangelo?,What is 5?,What is the Louvre?,,,,,
$1200 CLUE,The smallest country in the world by area.,DNA stands for this full name.,Leader of the Soviet Union during World War II.,This Leonardo da Vinci painting is the world's most visited artwork.,This golfer is known as 'The Golden Bear.',This chemical gives Mars its reddish color.,,,,,
$1200 ANSWER,What is Vatican City?,What is Deoxyribonucleic Acid?,Who is Joseph Stalin?,What is the Mona Lisa?,Who is Jack Nicklaus?,What is iron oxide?,,,,,
$1600 CLUE,This strait separates Alaska from Russia.,This planet has the most moons in our solar system.,This ancient script was deciphered using the Rosetta Stone.,Jazz originated in this American city.,The Olympic rings represent this many continents.,The currency used in Japan.,,,,,
$1600 ANSWER,What is the Bering Strait?,What is Saturn?,What is Egyptian Hieroglyphics?,What is New Orleans?,What is 5?,What is the Yen?,,,,,
$2000 CLUE,The Sahara Desert is located on this continent.,The approximate speed of light in a vacuum.,The treaty that ended World War I.,This composer wrote 'The Four Seasons.',This sport is played at Wimbledon.,Author of 'A Brief History of Time.',,,,,
$2000 ANSWER,What is Africa?,What is 299792458 meters per second?,What is the Treaty of Versailles?,Who is Antonio Vivaldi?,What is tennis?,Who is Stephen Hawking?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,American History,,,,,,,,,,,
FINAL CLUE,"This 1803 land purchase from France roughly doubled the size of the United States.",,,,,,,,,,,
FINAL ANSWER,What is the Louisiana Purchase?,,,,,,,,,,,
